name,mcc,service_line,segment,service_offering,contract_type,planned_cost,actual_cost,planned_effort,actual_effort,resource_count,start_date,end_date,tech_stack,status,baseline_rpp,latest_rpp,dollar_impact,project_margin_baseline,project_margin_latest,onsite_mix_pct
ADA25006ENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,150288.0,150288.0,8.8,8.8,1,2025-01-01,2025-09-27,ENG,Overrun,17078.18,17078.18,6.56,0.301,0.313,1.0
AE23ENILEDGE,CAREMARK,EDGE,HC,Maintenance,FP,975497.0,914210.61,195.13,150.0,33,2023-08-01,2026-07-31,EDGE,Underrun,4999.22,6094.74,-42303.54,0.59,0.408,0.31
AE25BRSTEAISDLY,CAREMARK,EAS,HC,Non Maintenance,FP,355000.0,355000.0,41.02,59.97,7,2024-12-01,2025-09-30,EAS,Overrun,8654.31,5919.63,21.61,0.468,0.482,0.41
AEROCYHDSEC,AEROJMST,SEC,COREMFG,Maintenance,FP,120000.0,309360.0,9.0,21.0,2,2024-10-01,2026-01-31,SEC,Underrun,13333.33,14731.43,-23095.28,0.227,0.277,1.0
AERONUTXCIS,AEROJMST,CIS,COREMFG,Maintenance,FP,70784.7,70784.7,3.81,3.81,1,2025-01-13,2026-03-31,CIS,Underrun,18578.66,18578.66,-94.86,0.389,0.428,1.0
AEULAMS3ESAP,ALCONMST,EAS,LS,Maintenance,FP,2125080.0,2125080.0,225.22,198.58,38,2021-10-01,2028-02-15,EAS,Underrun,9435.57,10701.38,-71292.82,0.511,0.66,1.0
AEULAMS3IGC,ALCONMST,IGC,LS,Maintenance,FP,0.0,0.0,31.5,31.5,5,2021-10-01,2028-02-15,IGC,Underrun,0.0,0.0,0.0,0.0,0.0,1.0
AIDMS47MCRLADM,APPLE,ADM,CRL,Non Maintenance,FP,112704.0,197416.0,6.66,15.37,1,2024-09-29,2025-06-28,ADM,Overrun,16922.52,12844.24,19606.01,0.668,0.59,0.55
AIDMS47MENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,0.0,15288.0,0.0,1.37,1,2024-09-29,2025-06-28,ENG,Overrun,,11159.12,19168.0,0.0,,
AIDMS50MCRLADM,APPLE,ADM,CRL,Non Maintenance,FP,461000.0,337784.0,46.13,45.17,8,2024-12-29,2025-09-27,ADM,Overrun,9993.5,7478.06,33202.47,0.632,0.539,0.2
AIDMS50MDNA,APPLE,DNA,CRL,Non Maintenance,FP,0.0,49288.0,3.59,3.59,1,2024-12-29,2025-09-27,DNA,Overrun,0.0,13729.25,39832.38,0.0,0.192,1.0
AIDMS50MDX,APPLE,DX,CRL,Non Maintenance,FP,0.0,6720.0,3.04,1.1,1,2024-12-29,2025-09-27,DX,Underrun,0.0,6109.09,-1322761.87,0.0,0.872,0.0
AIDMS50MENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,0.0,49288.0,2.94,2.94,1,2024-12-29,2025-09-27,ENG,Underrun,0.0,16764.63,-659667510.77,0.0,0.303,1.0
AIDMS50MIQE,APPLE,IQE,CRL,Non Maintenance,FP,0.0,17920.0,3.04,3.04,1,2024-12-29,2025-09-27,IQE,Underrun,0.0,5894.74,-4762561.71,0.0,0.695,0.0
AIDMS52MCRLADM,APPLE,ADM,CRL,Non Maintenance,FP,309400.0,309400.0,67.09,55.62,11,2024-12-29,2025-06-29,ADM,Underrun,4611.72,5562.75,-82.73,0.687,0.624,0.04
AIDMS52MDX,APPLE,DX,CRL,Non Maintenance,FP,18200.0,18200.0,3.04,4.41,1,2024-12-29,2025-06-29,DX,Overrun,5986.84,4126.98,12486.12,0.0,0.046,0.0
AIDMS52MENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,158488.0,158488.0,24.31,24.31,4,2024-12-29,2025-06-29,ENG,Overrun,6519.46,6519.46,52.75,-0.601,0.646,0.13
AIDMS55MCRLADM,APPLE,ADM,CRL,Non Maintenance,FP,501104.0,494752.0,43.7,40.89,7,2024-12-29,2025-06-28,ADM,Underrun,11466.91,12099.58,-8411.02,0.605,0.413,0.57
AIDMS55MDX,APPLE,DX,CRL,Non Maintenance,FP,197152.0,197152.0,12.15,12.15,2,2024-12-29,2025-06-28,DX,Underrun,16226.5,16226.5,-1090.65,0.0,0.361,1.0
AIDMS55MENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,51688.0,58040.0,3.04,5.75,1,2024-12-29,2025-06-28,ENG,Underrun,17002.63,10093.91,-20342.72,0.0,0.679,1.0
AIFLXAC1ENGCDPE,VERIZMST,ENG,CMT,Non Maintenance,FP,39581.4,56981.4,3.0,3.0,1,2025-01-01,2026-03-01,ENG,Underrun,13193.8,18993.8,-40.52,0.03,0.36,1.0
AIFLXAC1ENGNCMT,VERIZMST,ENG,CMT,Non Maintenance,FP,1440078.6,1422678.6,138.29,138.03,23,2025-01-01,2026-03-01,ENG,Underrun,10413.47,10307.02,-24891.25,0.356,0.39,0.5
AIFLXCIIDNA,VERIZMST,DNA,CMT,Non Maintenance,FP,83325.0,499953.0,4.99,32.91,1,2024-01-01,2025-06-30,DNA,Overrun,16698.4,15191.52,37241.54,0.311,0.275,1.0
AIFLXELVDNA,VERIZMST,DNA,CMT,Non Maintenance,FP,105000.0,157080.0,5.98,9.66,1,2024-07-01,2025-06-30,DNA,Overrun,17558.53,16260.87,6045.47,0.461,0.405,1.0
AIFLXGAIDNA,VERIZMST,DNA,CMT,Non Maintenance,FP,340000.0,536000.22,27.36,74.83,5,2024-08-15,2025-06-30,DNA,Overrun,12426.9,7162.91,81886.23,0.433,0.421,0.47
AIFLXML1CMTADM,VERIZMST,ADM,CMT,Non Maintenance,FP,52198.13,52198.13,8.39,17.39,1,2025-01-01,2025-04-30,ADM,Overrun,6221.47,3001.62,8167.7,0.0,0.696,0.0
AIFLXML1DNA,VERIZMST,DNA,CMT,Non Maintenance,FP,547801.87,547801.87,69.81,55.31,12,2025-01-01,2025-04-30,DNA,Underrun,7847.04,9904.21,-60680.55,0.483,0.498,0.27
AIFLXMLECMTADM,VERIZMST,ADM,CMT,Non Maintenance,FP,2614539.2,2824331.8,223.75,262.26,37,2024-03-01,2025-06-30,ADM,Underrun,11685.09,10769.21,-61234.17,0.533,0.652,0.3
AIFLXMLEDNA,VERIZMST,DNA,CMT,Non Maintenance,FP,0.0,291591.4,7.0,57.89,1,2024-03-01,2025-06-30,DNA,Underrun,0.0,5036.99,-402082.44,0.0,0.474,1.0
AIFLXMLEWD,VERIZMST,WD,CMT,Non Maintenance,FP,4012.8,42628.8,0.0,5.63,1,2024-03-01,2025-06-30,WD,Underrun,,7571.72,-33342.0,0.0,0.876,
AIMLQ225ENGCDPE,APPLE,ENG,CRL,Non Maintenance,FP,68132.0,68132.0,8.52,7.35,1,2024-12-29,2025-06-28,ENG,Underrun,7996.71,9269.66,-38.09,0.407,0.346,0.36
AJRDITO1CIS,AEROJMST,CIS,COREMFG,Maintenance,FP,42592360.73,36561062.93,5407.31,3983.16,901,2022-01-17,2027-07-12,CIS,Underrun,7876.81,9178.91,-5952803.08,-0.311,,0.99
AJRDITO1ENGCDPE,AEROJMST,ENG,COREMFG,Maintenance,FP,20840852.31,20327822.31,1083.0,1041.37,180,2022-01-17,2027-07-12,ENG,Underrun,19243.63,19520.27,-172654.28,0.396,0.412,1.0
AJRDITO1ENGNCMT,AEROJMST,ENG,COREMFG,Maintenance,FP,2683313.11,2683313.11,149.83,149.83,25,2022-01-17,2027-07-12,ENG,Underrun,17909.05,17909.05,-835.41,0.37,0.362,1.0
AJRDITO1MFGADM,AEROJMST,ADM,COREMFG,Maintenance,FP,26115640.34,26115640.52,1630.43,1564.31,272,2022-01-17,2027-07-12,ADM,Underrun,16017.64,16694.67,-644619.89,0.373,0.407,1.0
AJRDITO1MICROSFT,AEROJMST,MICROSFT,COREMFG,Maintenance,FP,14694513.5,8436236.33,1114.26,647.12,186,2022-01-17,2027-07-12,MICROSFT,Overrun,13187.69,13036.59,67930.72,0.215,0.215,1.0
AJRDITO1ORCDLY,AEROJMST,EAS,COREMFG,Maintenance,FP,15166280.73,15566280.73,1067.35,1058.15,178,2022-01-17,2027-07-12,EAS,Underrun,14209.29,14710.85,-311724.49,0.201,0.208,1.0
AJRDITO1SEC,AEROJMST,SEC,COREMFG,Maintenance,FP,6816092.66,3353574.89,494.3,261.3,82,2022-01-17,2027-07-12,SEC,Overrun,13789.38,12834.19,202215.37,0.172,0.097,1.0
ALCMSWSPMICROSFT,ALCONMST,MICROSFT,LS,Maintenance,FP,239904.0,239904.0,60.0,60.0,10,2025-02-01,2026-01-31,MICROSFT,Underrun,3998.4,3998.4,-317.57,0.72,0.726,0.0
ALCOIXCHCIS,ALCONMST,CIS,LS,Non Maintenance,FP,0.0,64306.0,0.0,6.0,1,2024-08-19,2025-05-09,CIS,Overrun,,10717.67,19994.28,0.0,0.688,
ALCOIXCHDX,ALCONMST,DX,LS,Non Maintenance,FP,148687.0,148687.0,34.2,50.26,6,2024-08-19,2025-05-09,DX,Overrun,4347.57,2958.36,23259.18,0.511,0.493,0.0
ALCOIXCHESAP,ALCONMST,EAS,LS,Non Maintenance,FP,136313.0,104160.0,19.25,17.73,3,2024-08-19,2025-05-09,EAS,Overrun,7081.19,5874.79,6539.1,0.725,0.632,0.0
ALCZCLICSEC,ALCONMST,SEC,LS,Non Maintenance,FP,9290000.0,9290000.16,0.35,0.32,1,2024-11-01,2027-10-31,SEC,Underrun,26542857.14,29031250.5,-15.25,1.0,1.006,0.0
ALENGTZ1BPOSERV,CSCMST,BPOSERV,CMT,Non Maintenance,FP,64541.78,64541.78,14.92,14.92,2,2021-01-25,2026-01-24,BPOSERV,Underrun,4325.86,4325.86,0.0,-0.266,,0.0
ALENGTZ1CIS,CSCMST,CIS,CMT,Non Maintenance,FP,817964.33,1602428.26,56.47,143.91,9,2021-01-25,2026-01-24,CIS,Overrun,14484.94,11134.93,121482.29,0.619,0.525,0.56
ALENGTZ1CMTADM,CSCMST,ADM,CMT,Non Maintenance,FP,425883.59,661310.91,94.43,161.08,16,2021-01-25,2026-01-24,ADM,Overrun,4510.05,4105.48,11555.44,0.821,0.806,0.0
ALENGTZ1DNA,CSCMST,DNA,CMT,Non Maintenance,FP,39675.0,39675.0,9.57,9.57,2,2021-01-25,2026-01-24,DNA,Underrun,4145.77,4145.77,0.0,-0.181,,0.17
ALENGTZ1DX,CSCMST,DX,CMT,Non Maintenance,FP,654627.79,985258.15,132.43,208.88,22,2021-01-25,2026-01-24,DX,Overrun,4943.2,4716.86,11200.51,0.776,0.753,0.0
ALENGTZ1ENGCDPE,CSCMST,ENG,CMT,Non Maintenance,FP,449949.44,374183.75,36.69,36.69,6,2021-01-25,2026-01-24,ENG,Overrun,12263.54,10198.52,98849.97,0.258,0.108,1.0
ALENGTZ1ENGNCMT,CSCMST,ENG,CMT,Non Maintenance,FP,85963238.87,83848523.4,6843.29,6606.66,1141,2021-01-25,2026-01-24,ENG,Overrun,12561.68,12691.51,122958.87,0.246,0.249,0.44
ALENGTZ1IQE,CSCMST,IQE,CMT,Non Maintenance,FP,84119.2,121800.75,26.66,39.55,4,2021-01-25,2026-01-24,IQE,Overrun,3155.26,3079.66,1450.92,0.507,0.497,0.0
ALFRP2MSBPOSERV,CSCMST,BPOSERV,CMT,Non Maintenance,FP,510554.88,510554.88,36.86,36.86,6,2021-01-25,2026-01-24,BPOSERV,Underrun,13851.19,13851.19,0.0,0.061,0.047,1.0
ALFRP2MSCIS,CSCMST,CIS,CMT,Non Maintenance,FP,5832181.11,5646969.98,851.28,800.98,142,2021-01-25,2026-01-24,CIS,Underrun,6851.07,7050.08,-21236.65,0.403,0.389,0.4
ALFRP2MSCMTADM,CSCMST,ADM,CMT,Non Maintenance,FP,36494685.07,34816856.62,3142.65,2946.57,524,2021-01-25,2026-01-24,ADM,Underrun,11612.71,11816.06,-484418.89,0.341,0.358,0.47
ALFRP2MSDNA,CSCMST,DNA,CMT,Non Maintenance,FP,21821886.79,20592935.37,3349.61,3190.13,558,2021-01-25,2026-01-24,DNA,Overrun,6514.75,6455.2,265476.81,0.559,0.56,0.18
ALFRP2MSDX,CSCMST,DX,CMT,Non Maintenance,FP,5488412.85,5837137.01,820.58,862.2,137,2021-01-25,2026-01-24,DX,Overrun,6688.46,6770.05,31752.0,0.489,0.479,0.24
ALFRP2MSEDGE,CSCMST,EDGE,CMT,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2021-01-25,2026-01-24,EDGE,Underrun,,,0.0,0.0,0.0,
ALFRP2MSENGCDPE,CSCMST,ENG,CMT,Non Maintenance,FP,1116934.17,1524139.87,69.29,93.02,12,2021-01-25,2026-01-24,ENG,Underrun,16119.7,16385.08,-1375.18,0.393,0.381,0.93
ALFRP2MSENGNCMT,CSCMST,ENG,CMT,Non Maintenance,FP,2438286.71,3488055.52,267.55,352.46,45,2021-01-25,2026-01-24,ENG,Underrun,9113.39,9896.32,-36079.8,0.269,0.227,0.53
ALFRP2MSIQE,CSCMST,IQE,CMT,Non Maintenance,FP,2288347.35,2643667.68,282.81,312.61,47,2021-01-25,2026-01-24,IQE,Overrun,8091.47,8456.76,91997.15,0.348,0.315,0.5
ALFRP2MSMICROSFT,CSCMST,MICROSFT,CMT,Non Maintenance,FP,0.0,0.0,1.19,1.19,1,2021-01-25,2026-01-24,MICROSFT,Underrun,0.0,0.0,0.0,0.0,0.0,0.0
ALFRP2MSORCDLY,CSCMST,EAS,CMT,Non Maintenance,FP,50891.07,50891.07,11.0,11.0,2,2021-01-25,2026-01-24,EAS,Underrun,4626.46,4626.46,0.0,0.739,0.739,0.0
ALFRP2MSWD,CSCMST,WD,CMT,Non Maintenance,FP,7820.0,251642.0,0.52,12.52,1,2021-01-25,2026-01-24,WD,Underrun,15038.46,20099.2,-32199.14,0.592,0.599,1.0
ALINCTRPCIS,ALCONMST,CIS,LS,Maintenance,FP,74000.0,76960.0,17.01,15.91,3,2025-01-13,2025-07-31,CIS,Underrun,4350.38,4837.21,-1561.14,0.782,0.822,0.0
